county,total_population_of_one_race,total_population_of_one_race_white_alone,total_population_of_one_race_black_or_african_american_alone,total_population_of_one_race_american_indian_and_alaska_native_alone,total_population_of_one_race_asian_alone,total_population_of_one_race_native_hawaiian_and_other_pacific_islander_alone,total_population_of_one_race_some_other_race_alone,total_population_of_two_or_more_races
"Goochland County, Virginia","23,524","19,302","3,267",75,494,3,383,"1,203"
"Grayson County, Virginia","14,767","13,558",904,32,24,2,247,566
"Greene County, Virginia","19,157","16,520","1,447",33,457,6,694,"1,395"
"Greensville County, Virginia","11,133","4,364","6,657",30,33,0,49,258
"Halifax County, Virginia","32,952","20,420","11,791",77,218,6,440,"1,070"
"Hanover County, Virginia","103,725","89,742","9,808",399,"2,035",33,"1,708","6,254"
"Henrico County, Virginia","313,088","170,651","97,568","1,338","32,296",154,"11,081","21,301"
"Henry County, Virginia","48,299","35,040","11,160",165,292,14,"1,628","2,649"
"Highland County, Virginia","2,159","2,135",2,3,6,1,12,73
"Isle of Wight County, Virginia","36,452","26,721","8,660",166,405,32,468,"2,154"
"James City County, Virginia","72,376","57,710","10,028",275,"2,269",52,"2,042","5,878"
"King and Queen County, Virginia","6,268","4,490","1,571",90,23,3,91,340
"King George County, Virginia","24,238","19,121","3,983",190,417,15,512,"2,485"
"King William County, Virginia","16,899","13,636","2,601",288,129,11,234,911
"Lancaster County, Virginia","10,580","7,467","2,951",24,77,1,60,339
"Lee County, Virginia","21,607","20,531",885,71,39,0,81,566
"Loudoun County, Virginia","376,302","225,974","30,568","1,582","89,779",263,"28,136","44,657"
"Louisa County, Virginia","35,252","28,813","5,408",158,257,18,598,"2,344"
"Lunenburg County, Virginia","11,314","7,095","3,805",35,26,6,347,622
"Madison County, Virginia","13,066","11,684","1,065",16,90,1,210,771
"Mathews County, Virginia","8,104","7,295",660,17,52,15,65,429
"Mecklenburg County, Virginia","29,242","18,032","10,435",75,205,0,495,"1,077"
"Middlesex County, Virginia","10,105","8,411","1,523",33,28,3,107,520
"Montgomery County, Virginia","93,839","79,436","4,165",207,"8,347",52,"1,632","5,882"
"Nelson County, Virginia","14,050","12,021","1,538",56,67,3,365,725
"New Kent County, Virginia","21,522","18,017","2,739",247,223,8,288,"1,423"
"Northampton County, Virginia","11,580","7,071","3,785",85,82,8,549,702
"Northumberland County, Virginia","11,349","8,366","2,690",29,69,0,195,490
"Nottoway County, Virginia","14,933","8,625","5,813",85,64,3,343,709
"Orange County, Virginia","33,625","27,877","4,364",192,324,19,849,"2,629"
"Page County, Virginia","22,815","22,037",439,51,120,8,160,894
"Patrick County, Virginia","16,968","15,719",840,36,43,3,327,640
"Pittsylvania County, Virginia","58,372","44,672","12,417",169,292,22,800,"2,129"
"Powhatan County, Virginia","28,762","25,732","2,505",64,169,24,268,"1,571"
"Prince Edward County, Virginia","20,906","10,662","9,269",36,197,1,741,943
"Prince George County, Virginia","39,968","23,827","12,968",276,862,144,"1,891","3,042"
"Prince William County, Virginia","419,112","200,831","97,457","3,565","50,314",600,"66,345","63,092"
"Pulaski County, Virginia","32,172","29,922","1,658",69,184,3,336,"1,628"
"Rappahannock County, Virginia","6,906","6,521",200,18,63,3,101,442
"Richmond County, Virginia","8,510","5,739","2,439",16,42,0,274,413
"Roanoke County, Virginia","91,763","80,780","5,764",243,"3,462",24,"1,490","5,166"
"Rockbridge County, Virginia","21,609","20,483",575,94,187,9,261,"1,041"
"Rockingham County, Virginia","79,127","72,656","1,886",291,928,20,"3,346","4,630"
"Russell County, Virginia","25,194","24,835",229,19,42,1,68,587
"Scott County, Virginia","20,877","20,617",134,31,28,4,63,699
"Shenandoah County, Virginia","41,522","38,166","1,087",198,348,8,"1,715","2,664"
"Smyth County, Virginia","28,753","27,939",430,40,104,1,239,"1,047"
"Southampton County, Virginia","17,277","11,080","5,924",67,70,20,116,719
"Spotsylvania County, Virginia","126,134","90,227","22,933",675,"3,978",127,"8,194","13,898"
"Stafford County, Virginia","137,754","90,269","30,400","1,161","6,251",266,"9,407","19,173"
"Surry County, Virginia","6,274","3,483","2,694",19,14,10,54,287
"Sussex County, Virginia","10,416","4,501","5,781",18,12,11,93,413
"Tazewell County, Virginia","38,977","37,528",967,59,215,15,193,"1,452"
"Warren County, Virginia","37,834","34,386","1,754",185,472,15,"1,022","2,893"
"Washington County, Virginia","52,093","50,639",662,106,337,1,348,"1,842"
"Westmoreland County, Virginia","17,265","11,941","4,491",78,148,11,596,"1,212"
"Wise County, Virginia","34,991","32,789","1,802",55,153,11,181,"1,139"
"Wythe County, Virginia","27,212","26,165",707,61,118,2,159,"1,078"
"York County, Virginia","63,358","48,251","8,930",258,"4,297",140,"1,482","6,687"
"Alexandria city, Virginia","142,290","82,185","31,903","1,004","11,354",94,"15,750","17,177"
"Bristol city, Virginia","16,131","14,754","1,051",57,162,4,103,"1,088"
"Buena Vista city, Virginia","6,194","5,740",289,49,29,24,63,447
"Charlottesville city, Virginia","42,970","30,344","7,122",164,"4,083",22,"1,235","3,583"
"Chesapeake city, Virginia","229,256","139,573","72,268","1,174","9,057",377,"6,807","20,166"
"Colonial Heights city, Virginia","16,743","12,652","2,915",42,579,13,542,"1,427"
"Covington city, Virginia","5,435","4,585",718,23,32,5,72,302
"Danville city, Virginia","40,966","17,262","21,879",186,514,1,"1,124","1,624"
"Emporia city, Virginia","5,553","1,544","3,655",23,53,6,272,213
"Fairfax city, Virginia","21,335","13,473","1,103",145,"4,537",10,"2,067","2,811"
"Falls Church city, Virginia","12,921","10,221",576,32,"1,499",11,582,"1,737"
"Franklin city, Virginia","7,846","3,008","4,639",34,81,5,79,334
"Fredericksburg city, Virginia","25,305","15,872","6,135",180,"1,334",30,"1,754","2,677"
"Galax city, Virginia","6,312","5,233",367,33,52,1,626,408
"Hampton city, Virginia","126,793","51,202","67,915",647,"3,568",241,"3,220","10,355"
"Harrisonburg city, Virginia","46,478","33,789","4,218",297,"2,116",29,"6,029","5,336"
"Hopewell city, Virginia","21,346","10,141","9,852",111,254,20,968,"1,687"
"Lexington city, Virginia","6,995","6,112",459,20,281,0,123,325
"Lynchburg city, Virginia","74,405","48,502","21,453",243,"1,766",41,"2,400","4,604"
"Manassas city, Virginia","37,117","16,717","5,124",536,"2,729",36,"11,975","5,655"
"Manassas Park city, Virginia","14,956","5,535","2,136",174,"1,835",13,"5,263","2,263"
"Martinsville city, Virginia","12,723","5,924","6,094",50,116,4,535,762
"Newport News city, Virginia","169,992","74,676","78,687",940,"6,356",441,"8,892","16,255"
"Norfolk city, Virginia","218,754","102,841","95,594","1,328","9,025",521,"9,445","19,251"
"Norton city, Virginia","3,496","3,242",180,8,27,1,38,191
"Petersburg city, Virginia","31,883","5,418","24,811",141,339,32,"1,142","1,575"
"Poquoson city, Virginia","11,624","11,059",120,41,264,7,133,836
"Portsmouth city, Virginia","91,697","35,892","52,214",427,"1,285",141,"1,738","6,218"
"Radford city, Virginia","15,213","12,280","2,182",40,217,6,488,857
"Richmond city, Virginia","212,506","98,140","91,653",898,"6,259",115,"15,441","14,104"
"Roanoke city, Virginia","92,526","57,309","27,470",419,"2,479",54,"4,795","7,485"
"Salem city, Virginia","23,973","20,923","1,949",48,541,9,503,"1,373"
"Staunton city, Virginia","24,027","20,207","2,935",84,323,12,466,"1,723"
"Suffolk city, Virginia","88,194","44,723","39,701",343,"1,708",74,"1,645","6,130"
"Virginia Beach city, Virginia","415,348","278,956","85,478","1,894","34,305",756,"13,959","44,122"
"Waynesboro city, Virginia","20,503","16,562","2,672",43,260,26,940,"1,693"
"Williamsburg city, Virginia","14,433","7,572","5,699",41,500,25,596,992
"Winchester city, Virginia","25,719","18,336","2,865",255,711,16,"3,536","2,401"
"Adams County, Washington","17,078","9,164",41,439,135,13,"7,286","3,535"
"Asotin County, Washington","20,813","19,858",116,299,206,34,300,"1,472"
"Benton County, Washington","182,727","146,087","2,893","2,052","6,397",607,"24,691","24,146"
"Chelan County, Washington","70,583","55,289",296,817,809,124,"13,248","8,491"
"Clallam County, Washington","70,469","62,450",615,"4,346","1,263",119,"1,676","6,686"
"Clark County, Washington","451,040","379,827","11,396","4,835","24,274","5,306","25,402","52,271"
"Columbia County, Washington","3,645","3,442",11,50,23,1,118,307
"Cowlitz County, Washington","100,536","90,812",820,"1,720","1,772",668,"4,744","10,194"
"Douglas County, Washington","36,824","27,842",150,673,412,62,"7,685","6,114"
"Ferry County, Washington","6,602","5,118",28,"1,309",46,11,90,576
"Franklin County, Washington","80,625","45,837","1,790","1,403","1,904",232,"29,459","16,124"
"Garfield County, Washington","2,164","2,098",9,18,11,0,28,122
"Grant County, Washington","85,914","57,433",782,"1,660","1,202",104,"24,733","13,209"
"Grays Harbor County, Washington","68,806","59,052","1,026","3,876","1,050",134,"3,668","6,830"
"Island County, Washington","77,849","67,928","2,399",717,"4,019",440,"2,346","9,008"
"Jefferson County, Washington","30,425","28,588",207,565,497,50,518,"2,552"
"King County, Washington","2,033,922","1,273,054","151,468","19,073","452,475","20,022","117,830","235,753"
"Kitsap County, Washington","243,977","206,398","7,835","4,306","14,412","2,969","8,057","31,634"
"Kittitas County, Washington","40,635","36,479",402,539,931,93,"2,191","3,702"
"Klickitat County, Washington","20,643","18,271",64,550,145,42,"1,571","2,092"
"Lewis County, Washington","74,784","67,825",564,"1,190",824,158,"4,223","7,365"
"Lincoln County, Washington","10,166","9,704",21,225,73,14,129,710
"Mason County, Washington","59,184","51,023",713,"2,632",783,224,"3,809","6,542"
"Okanogan County, Washington","37,969","27,606",168,"4,881",284,41,"4,989","4,135"
"Pacific County, Washington","21,406","19,104",101,554,463,47,"1,137","1,959"
"Pend Oreille County, Washington","12,536","11,811",57,396,78,11,183,865
"Pierce County, Washington","805,004","595,446","66,006","12,777","63,460","18,844","48,471","116,126"
"San Juan County, Washington","16,316","15,276",54,115,229,27,615,"1,472"
"Skagit County, Washington","115,794","96,540",888,"2,878","2,832",418,"12,238","13,729"
"Skamania County, Washington","11,013","10,308",74,187,121,34,289,"1,023"
"Snohomish County, Washington","738,461","546,855","29,293","10,805","101,464","5,016","45,028","89,496"
"Spokane County, Washington","490,979","442,952","10,979","8,092","12,654","4,303","11,999","48,360"
"Stevens County, Washington","43,131","39,313",149,"2,680",290,89,610,"3,314"
"Thurston County, Washington","260,633","215,798","9,403","4,458","17,268","3,347","10,359","34,160"
"Wahkiakum County, Washington","4,067","3,884",22,61,44,3,53,355
"Walla Walla County, Washington","55,390","45,471","1,056",696,943,137,"7,087","7,194"
"Whatcom County, Washington","205,114","175,946","2,347","6,277","10,127",725,"9,692","21,733"
"Whitman County, Washington","43,437","36,586","1,203",338,"3,646",155,"1,509","4,536"
"Yakima County, Washington","217,961","124,445","2,119","12,979","3,030",309,"75,079","38,767"
"Barbour County, West Virginia","14,842","14,460",271,37,32,0,42,623
"Berkeley County, West Virginia","112,356","98,281","9,364",407,"1,496",52,"2,756","9,720"
"Boone County, West Virginia","21,033","20,780",135,46,36,2,34,776
"Braxton County, West Virginia","12,104","11,976",50,19,23,11,25,343
"Brooke County, West Virginia","21,485","20,915",368,39,55,0,108,"1,074"
"Cabell County, West Virginia","89,708","82,665","4,811",209,"1,345",20,658,"4,642"
"Calhoun County, West Virginia","6,045","6,003",13,12,13,2,2,184
"Clay County, West Virginia","7,730","7,671",13,29,16,0,1,321
"Doddridge County, West Virginia","7,546","7,304",174,18,15,0,35,262
"Fayette County, West Virginia","38,580","36,483","1,680",104,105,2,206,"1,908"
"Gilmer County, West Virginia","7,211","6,220",937,11,31,3,9,197
"Grant County, West Virginia","10,673","10,489",85,21,24,0,54,303
"Greenbrier County, West Virginia","31,661","30,360",792,70,198,6,235,"1,316"
"Hampshire County, West Virginia","22,216","21,775",188,35,61,4,153,877
"Hancock County, West Virginia","27,645","26,661",703,36,110,9,126,"1,450"
"Hardy County, West Virginia","13,668","12,835",414,35,59,0,325,631
"Harrison County, West Virginia","62,513","60,334","1,118",157,489,28,387,"3,408"
"Jackson County, West Virginia","26,883","26,516",101,46,91,2,127,908
"Jefferson County, West Virginia","52,964","46,825","3,459",141,837,13,"1,689","4,737"
"Kanawha County, West Virginia","171,180","153,637","13,592",402,"2,149",51,"1,349","9,565"
"Lewis County, West Virginia","16,366","16,162",69,23,58,8,46,667
"Lincoln County, West Virginia","19,935","19,793",49,22,26,0,45,528
"Logan County, West Virginia","31,639","30,884",581,42,67,1,64,928
"McDowell County, West Virginia","18,460","16,195","2,163",22,20,4,56,651
"Marion County, West Virginia","53,083","50,578","1,867",139,256,43,200,"3,122"
"Marshall County, West Virginia","29,344","28,797",264,39,108,7,129,"1,247"
"Mason County, West Virginia","24,761","24,401",193,39,83,5,40,692
"Mercer County, West Virginia","57,019","52,554","3,720",176,296,7,266,"2,645"
"Mineral County, West Virginia","25,724","24,734",723,41,117,5,104,"1,214"
"Mingo County, West Virginia","22,907","22,383",409,36,32,0,47,661
"Monongalia County, West Virginia","99,340","90,012","4,160",185,"3,755",71,"1,157","6,482"
"Monroe County, West Virginia","11,976","11,771",113,28,11,0,53,400
"Morgan County, West Virginia","16,302","15,985",112,40,83,0,82,761
"Nicholas County, West Virginia","23,828","23,603",61,45,74,7,38,776
"Ohio County, West Virginia","40,200","37,769","1,661",77,392,20,281,"2,225"
"Pendleton County, West Virginia","5,965","5,845",82,14,0,5,19,178
"Pleasants County, West Virginia","7,403","7,248",95,22,17,0,21,250
"Pocahontas County, West Virginia","7,629","7,497",57,26,9,4,36,240
"Preston County, West Virginia","33,082","30,832","2,042",76,57,5,70,"1,134"
"Putnam County, West Virginia","55,095","53,364",656,96,577,7,395,"2,345"
"Raleigh County, West Virginia","71,264","64,025","5,847",136,831,16,409,"3,327"
"Randolph County, West Virginia","26,883","26,144",433,61,104,1,140,"1,049"
"Ritchie County, West Virginia","8,231","8,155",17,9,23,7,20,213
"Roane County, West Virginia","13,454","13,305",39,28,38,1,43,574
"Summers County, West Virginia","11,438","10,930",402,35,33,0,38,521
"Taylor County, West Virginia","15,922","15,710",114,19,41,0,38,783
"Tucker County, West Virginia","6,512","6,457",21,4,6,1,23,250
"Tyler County, West Virginia","8,023","7,981",4,17,3,0,18,290
"Upshur County, West Virginia","22,915","22,474",223,37,88,6,87,901
"Wayne County, West Virginia","37,777","37,339",168,56,83,10,121,"1,205"
"Webster County, West Virginia","8,158","8,105",13,14,4,2,20,220
"Wetzel County, West Virginia","13,903","13,752",34,18,50,0,49,539
"Wirt County, West Virginia","5,036","5,013",6,4,0,4,9,158
"Wood County, West Virginia","80,375","78,170","1,040",174,564,23,404,"3,921"
"Wyoming County, West Virginia","20,780","20,592",107,32,18,1,30,602
"Adams County, Wisconsin","19,850","18,734",603,198,85,10,220,804
"Ashland County, Wisconsin","15,132","12,791",112,"2,084",84,9,52,895
"Barron County, Wisconsin","44,751","42,567",819,472,346,5,542,"1,960"
"Bayfield County, Wisconsin","15,380","13,493",59,"1,696",36,2,94,840
"Brown County, Wisconsin","249,347","212,929","8,404","7,581","8,518",122,"11,793","19,393"
"Buffalo County, Wisconsin","12,917","12,651",43,41,23,12,147,400
"Burnett County, Wisconsin","15,686","14,756",65,721,53,10,81,840
"Calumet County, Wisconsin","50,019","46,499",444,252,"1,277",42,"1,505","2,423"
"Chippewa County, Wisconsin","63,668","60,865","1,075",361,975,19,373,"2,629"
"Clark County, Wisconsin","33,564","31,972",119,172,108,4,"1,189","1,095"
"Columbia County, Wisconsin","56,092","53,739",905,320,381,11,736,"2,398"
"Crawford County, Wisconsin","15,571","15,107",269,52,72,1,70,542
"Dane County, Wisconsin","522,530","435,458","30,473","2,397","35,758",241,"18,203","38,974"
"Dodge County, Wisconsin","85,306","79,395","2,766",438,517,11,"2,179","4,090"
"Door County, Wisconsin","28,673","27,754",145,144,144,4,482,"1,393"
"Douglas County, Wisconsin","41,677","39,733",583,801,286,18,256,"2,618"
"Dunn County, Wisconsin","43,713","41,198",404,207,"1,458",13,433,"1,727"
"Eau Claire County, Wisconsin","100,701","93,277","1,255",527,"4,401",83,"1,158","5,009"
"Florence County, Wisconsin","4,382","4,312",9,30,8,8,15,176
"Fond du Lac County, Wisconsin","98,995","91,630","2,416",506,"1,256",35,"3,152","5,159"
"Forest County, Wisconsin","8,715","7,407",32,"1,228",17,11,20,464
"Grant County, Wisconsin","50,488","48,710",684,129,413,8,544,"1,450"
"Green County, Wisconsin","35,512","34,318",212,105,174,3,700,"1,581"
"Green Lake County, Wisconsin","18,212","17,505",117,68,103,12,407,806
"Iowa County, Wisconsin","22,878","22,326",114,39,180,12,207,831
"Iron County, Wisconsin","5,968","5,831",16,66,13,0,42,169
"Jackson County, Wisconsin","20,283","18,142",442,"1,378",77,0,244,862
"Jefferson County, Wisconsin","79,955","75,145",888,365,672,27,"2,858","4,945"
"Juneau County, Wisconsin","25,618","24,299",560,381,148,1,229,"1,100"
"Kenosha County, Wisconsin","153,055","128,417","12,082",730,"2,874",88,"8,864","16,096"
"Kewaunee County, Wisconsin","19,852","19,149",60,89,68,2,484,711
"La Crosse County, Wisconsin","115,505","106,317","1,994",508,"5,608",26,"1,052","5,279"
"Lafayette County, Wisconsin","15,966","15,231",28,48,40,4,615,645
"Langlade County, Wisconsin","18,697","18,125",105,250,70,4,143,794
"Lincoln County, Wisconsin","27,483","26,909",158,120,118,2,176,932
"Manitowoc County, Wisconsin","77,332","72,034","1,070",464,"2,253",15,"1,496","4,027"
"Marathon County, Wisconsin","132,127","119,902","1,192",648,"8,496",36,"1,853","5,886"
"Marinette County, Wisconsin","40,201","39,100",201,255,187,8,450,"1,671"
"Marquette County, Wisconsin","15,022","14,688",46,68,51,5,164,570
"Menominee County, Wisconsin","4,154",500,2,"3,643",2,3,4,101
"Milwaukee County, Wisconsin","852,315","488,198","245,863","7,507","46,446",369,"63,932","87,174"
"Monroe County, Wisconsin","43,940","41,293",649,585,365,63,985,"2,334"
"Oconto County, Wisconsin","37,471","36,432",92,510,117,4,316,"1,494"
"Oneida County, Wisconsin","36,591","35,468",213,473,205,18,214,"1,254"
"Outagamie County, Wisconsin","180,666","164,009","3,053","3,143","6,618",112,"3,731","10,039"
